COUNTER,INTERPOLATED,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,RAW_CQ,GYROX,GYROY,MARKER,SYNC,CQ_AF3,CQ_F7,CQ_F3,CQ_FC5,CQ_T7,CQ_P7,CQ_O1,CQ_O2,CQ_P8,CQ_T8,CQ_FC6,CQ_F4,CQ_F8,CQ_AF4,CQ_CMS,CQ_DRL
98.0,0.0,4216.410256410258,4187.179487179489,4187.179487179489,4192.307692307694,4168.71794871795,4180.000000000002,4042.564102564104,4191.282051282053,4180.000000000002,4192.307692307694,4193.846153846155,4233.333333333335,4012.8205128205145,4203.589743589745,807.0,2042.0,2049.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99.0,0.0,4214.3589743589755,4170.256410256412,4185.641025641027,4168.20512820513,4168.20512820513,4175.384615384617,3998.46153846154,4190.256410256412,4172.8205128205145,4187.692307692309,4184.102564102565,4248.71794871795,3992.3076923076937,4195.384615384617,825.0,2041.0,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,0.0,4215.897435897437,4182.564102564104,4181.538461538463,4160.512820512822,4167.692307692309,4181.0256410256425,3994.8717948717963,4195.384615384617,4174.3589743589755,4186.153846153848,4192.307692307694,4266.666666666668,3976.4102564102577,4209.23076923077,839.0,2040.0,2049.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101.0,0.0,4225.641025641027,4203.589743589745,4194.3589743589755,4217.435897435899,4164.102564102565,4185.641025641027,4012.3076923076937,4200.512820512822,4177.435897435899,4187.692307692309,4189.23076923077,4265.641025641027,4005.641025641027,4220.512820512822,845.0,2040.0,2047.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102.0,0.0,4206.666666666668,4188.71794871795,4177.94871794872,4204.102564102565,4171.282051282053,4180.512820512822,3977.435897435899,4185.128205128207,4180.000000000002,4191.282051282053,4188.71794871795,4226.666666666668,4021.5384615384633,4182.051282051283,807.0,2037.0,2046.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103.0,0.0,4210.769230769232,4174.3589743589755,4185.128205128207,4145.128205128207,4168.71794871795,4173.846153846155,3997.9487179487196,4200.512820512822,4181.0256410256425,4190.256410256412,4192.307692307694,4250.256410256412,3991.7948717948734,4191.794871794873,825.0,2037.0,2042.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104.0,0.0,4224.615384615386,4171.794871794873,4204.615384615386,4165.641025641027,4166.153846153848,4176.923076923078,4047.1794871794887,4225.128205128207,4170.769230769232,4185.641025641027,4171.794871794873,4274.3589743589755,3964.615384615386,4217.94871794872,839.0,2039.0,2039.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105.0,0.0,4207.692307692309,4157.435897435899,4182.051282051283,4162.564102564104,4168.71794871795,4177.435897435899,4025.1282051282064,4203.076923076925,4171.282051282053,4185.641025641027,4173.333333333335,4225.128205128207,3987.692307692309,4192.307692307694,845.0,2041.0,2037.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106.0,0.0,4205.641025641027,4169.743589743592,4169.743589743592,4141.0256410256425,4165.641025641027,4171.794871794873,4026.6666666666683,4184.102564102565,4186.666666666668,4190.769230769232,4208.20512820513,4216.923076923078,4022.564102564104,4193.846153846155,807.0,2040.0,2038.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107.0,0.0,4202.564102564104,4196.410256410258,4165.128205128207,4201.538461538463,4169.743589743592,4175.897435897437,4062.0512820512836,4188.20512820513,4175.897435897437,4186.666666666668,4192.307692307694,4227.692307692309,3984.102564102566,4196.923076923078,825.0,2041.0,2040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
